id	HS	text	pretext
1024444574624886784	0	siempre después de llorar, voy al baño, me miro al espejo y sonrío no se q tipo de problema mental tendré	siempre despues llorar , voy bano , miro espejo sonrio q tipo problema mental
1024444584280113152	0	Sataaaan aléjate 	sataaaan alejate
1024444586104639488	1	Tanto le molesta ver a la gente bien?	molesta ver gente bien ?
1024444587404869635	0	Exacto... nunca será el aborto la solución. Por eso #RechazoTotalYa al aborto en Argentina \n\nVamos que se puedehttps://twitter.com/AnaBelenMarmora/status/1024393823726788608 …	exacto  $ELLIPSIS$ nunca aborto solucion . $HASHTAG$ aborto argentina vamos puede $URL$  $ELLIPSIS$ 
1024444593364971520	0	Te amo con todo mi corazoncito de pollito 	amo corazoncito pollito
1026123061525995520	0	"Me frustra muchísimo que amigos a los que quiero tengan actitudes de mierda. \nÚltimamente siempre veo tuits rollo ""mu feminista pero con amigos q son mierdas noseké""."	"frustra muchisimo amigos quiero actitudes mierda . ultimamente siempre veo tuits rollo "" feminista amigos q mierdas noseke "" ."
1026148609321037825	0	Raza ayer iba subiendo a mi casa bien imbecil de lo pedo que estaba y un wey me dijo que me iba a robar que le diera mi fon y yo estaba bien pedo y como me espanté le rompí la madre y le puse una putiza y con una torta en la mano JAJAJAJAJAJAJAJA	raza ayer iba subiendo casa bien imbecil pedo wey dijo iba robar diera fon bien pedo espante rompi madre puse putiza torta  $LOL$ 
1026188109191495682	1	Maldito indio patiRajado  como usd no es el q esta pasando necesidades como los hermanos venezolanos    pero me doy cuenta que usd es un cretino  igual de burro y poco preparado que maburro	maldito indio patirajado usd q pasando necesidades hermanos venezolanos doy cuenta usd cretino igual burro preparado maburro
1026238571278151680	0	Te quedaste sin el pan y sin la torta por imbecil !! Io te lo dije 	quedaste pan torta imbecil ! ! dije
1026266359079022592	1	Te das cuenta que las dos vidas te las pasas por el forro de los huevos? Ojala no te deje dormir la culpa por todas las mujeres que se van a morir, ojala tengas una hija feminista y deje de respetarte con esa opinion de mierda que tenes  #SeraLey a la larga o a la corta Mono	cuenta vidas pasas forro huevos ? ojala deje dormir culpa todas mujeres morir , ojala hija feminista deje respetarte opinion mierda tenes $HASHTAG$ larga corta mono
1026465552917843973	1	Ja como si el indio va a ver este tw. Sos una pelotuda.\nA mi también me gusta el indio y estoy a favor de las vidas , ay no que mal ! Ahora el indio va a saberlo , ay no acabo de faltarle el respeto. Jajaja que gente idiota por favor	indio ver tw . sos pelotuda . gusta indio favor vidas , mal ! ahora indio saberlo , acabo faltarle respeto .  $LOL$  gente idiota favor
1026947001974444032	1	Obvio, mira si te sale negro y puto??https://twitter.com/felicianospano/status/1026628212305158144 …	obvio , mira negro puto ? ? $URL$  $ELLIPSIS$ 
1026951578845159424	0	@PaSchwarzBlo Hola, no se si sera fascista pero seguro ignorante.- Confundir al Movimiento Social Patriota con Nazis?. Recuerde que su apellido es uno de los 20 mas usados en Alemania, por lo que segun Franzani usted seria un Nazi, no estaria muy lejano del fascismo.-	$MENTION$ hola , fascista seguro ignorante . - confundir movimiento social patriota nazis ? . recuerde apellido $NUMBER$ usados alemania , segun franzani usted nazi , estaria lejano fascismo . -
1027091731894992896	0	Fue el montaje de un dictador comunista para tener la excusa de encarcelar opositores. ¿Te lo dibujo para que lo entiendas, esbirro asqueroso?	montaje dictador comunista tener excusa encarcelar opositores . ? dibujo entiendas , esbirro asqueroso ?
1027113734765006848	1	Xavier chino sucio siempre con la misma remera hijo de puta	xavier chino sucio siempre misma remera hijo puta
1027202937334968321	1	Que bronca me da lo que flashan del aborto loco! Sea legal o ilegal se va a seguir haciendo. No queres abortar? No lo hagas.\nNadie te obligó a ser puto o torta cuando se legalizó el matrimonio igualitario. De la misma manera nadie te obliga a abortar, FANTASMA!	bronca flashan aborto loco ! legal ilegal seguir haciendo . queres abortar ? hagas . nadie obligo ser puto torta legalizo matrimonio igualitario . misma manera nadie obliga abortar , fantasma !
1027248958509277184	1	Hay que ser muy zurdo de mierda y whiteknight para twittear semejante barbaridad. Más aun en una cuenta sobre el Arsenal. ¿Con qué derecho?	ser zurdo mierda whiteknight twittear semejante barbaridad . aun cuenta arsenal . ? derecho ?
1027269635945754625	1	Joder con el puto indio.... Y lo que no se sabe https://twitter.com/abc_es/status/1027266937624121344 …	joder puto indio  $ELLIPSIS$ sabe $URL$  $ELLIPSIS$ 
1027343786203127809	0	"Expliqueme entonces que es lo que entendio.\n\nArgumente por que estamos acostumbrados a que cuando uno pide argumentos le dicen a uno.\n\n"" guerrillero, comunista , ignorante""\n\nY ya. Se van."	"expliqueme entonces entendio . argumente acostumbrados pide argumentos dicen . "" guerrillero , comunista , ignorante "" . ."
1027509408337670144	0	ya me jodería que los heteros nos llevéis imponiendo vuestra sexualidad desde el principio de los tiempos mientras a nosotros nos matan por ser lgbt y ahora decís que es heterofobia un puto tweet que es una coña https://twitter.com/ainhoasasstre/status/1027504719789477888 …	joderia heteros lleveis imponiendo sexualidad principio tiempos mientras matan ser lgbt ahora decis heterofobia puto tweet cona $URL$  $ELLIPSIS$ 
1027562281075392513	1	tabaré es el que menos daño hace en tal caso. entre tabaré y los rosados que llevan al palacio legislativo a médicos que dicen sin tapujos que ser puto, torta o trans son desviaciones, lamentablemente me quedo con juan carlos ojo caido.	tabare menos dano hace tal caso . tabare rosados llevan palacio legislativo medicos dicen tapujos ser puto , torta trans desviaciones , lamentablemente quedo juan carlos ojo caido .
1027595602358611969	1	"Pero si eran los chimbomierdas que son unos putos racistas los que se descojonaban con Lin chu so,\n ""ya tenéis un chino."" \n""Solo os falta un esquimal"" \nSon puro racismo y una secta supremacista de mierda"	"chimbomierdas putos racistas descojonaban lin chu , "" chino . "" "" solo falta esquimal "" puro racismo secta supremacista mierda"
1027908914338246657	0	El embargo de CITGO es solo el comienzo. #Narcodictadura sigue represión, asesinando y traficando, se meterán a tu casa a violar y matar a tu mujer y tus hijos..Y no pasa nada? De pana están como los músicos del Titanic... #DespiertaCoño #Arrechate\n@VenezuelaAnons @MariaCorinaYA	embargo citgo solo comienzo . $HASHTAG$ sigue represion , asesinando traficando , meteran casa violar matar mujer hijos .. pasa ? pana musicos titanic  $ELLIPSIS$ $HASHTAG$ $HASHTAG$ $MENTION$ $MENTION$
1027957085760356352	1	Discúlpame, pero sos media pelotuda, o sino analizando las posturas verdes, esta mujer no es pobre ni ignorante, relatos de los pañuelos verdes que se caen con sus propios inventores.	disculpame , sos media pelotuda , sino analizando posturas verdes , mujer pobre ignorante , relatos panuelos verdes caen propios inventores .
1027975631902916608	0	Vía @RMarcoTorres #10Ago El compañero ministro @jorgerpsuv presenta al pueblo venezolano y a medios de comunicación internacionales, las pruebas que confirman la participación de sectores de la derecha fascista en la planificación del criminal intento de… http://dlvr.it/QfTHcY  pic.twitter.com/mBEg99ORVb	via $MENTION$ $HASHTAG$ companero ministro $MENTION$ presenta pueblo venezolano medios comunicacion internacionales , pruebas confirman participacion sectores derecha fascista planificacion criminal intento  $ELLIPSIS$ $URL$ $URL$
1027983708333191171	0	"No sra ignorante no está de acuerdo en matar vidas inocentes. Están de acuerdo en que cuando alguna mujer decida ""matar esa vida inocente"" no se vaya la de ella en el intento. No es un debate si abortar o no. Es un debate en qué condiciones se hacen..."	"sra ignorante acuerdo matar vidas inocentes . acuerdo alguna mujer decida "" matar vida inocente "" vaya intento . debate abortar . debate condiciones hacen  $ELLIPSIS$ "
1028005415446036482	0	La culpa no es de ésta mujer que “se hace” la ignorante sino de quienes la votan y le otorgan el cargo. pic.twitter.com/qBmcO2EnDV	"culpa esta mujer "" hace "" ignorante sino votan otorgan cargo . $URL$"
1028090182669660161	1	Nosotras basta feminazi. Ponete forro.	basta feminazi . ponete forro .
1028234422276055040	0	Me gusta el Kpop pero al menos no voy dando lecciones de moral sin tener ni puta idea, no voy de aliado feminista y luego permito comentarios machistas y tampoco me limito a un único estilo musical porque es de “guays”. Chico, que pena das.	"gusta kpop menos voy dando lecciones tener puta idea , voy aliado feminista luego permito comentarios machistas tampoco limito unico estilo musical "" guays "" . chico , pena ."
1028301467541794822	1	Me gusta esta morga feminazi abortera nunca yuta pa los amigues	gusta morga feminazi abortera nunca yuta amigues
1028305244520730627	1	Bakayoko con Sarri sería una bestia jaja que es broma, ni al lado de Dios Bakayoko podría mejorar su nivel, puto negro de mierda, vete de mi equipo @TimoeB08 jaja que es broma, Bakayoko siempre tendrá mi apoyo cuando sea cedido	bakayoko sarri bestia  $LOL$  broma , lado dios bakayoko podria mejorar nivel , puto negro mierda , vete equipo $MENTION$  $LOL$  broma , bakayoko siempre apoyo cedido
1028308274255482882	1	cono buen comunista tu tiras para el terrorismo...desgraciado maldito corrupto	cono buen comunista tiras terrorismo  $ELLIPSIS$ desgraciado maldito corrupto
1028356434692632576	1	jajaja.que ridiculez!!!El feto no es culpable de lo que la mujer dejo entrar antes,para que el http://exista.No  busquen justificativos,porque no los hay.Digan abiertamente que el pobre tiene derecho a robar,matar,y prohibido reproducirse,si es que los van a seguir usando	 $LOL$ .que ridiculez  $EXCLAMATION$ feto culpable mujer dejo entrar , $URL$ busquen justificativos , hay.digan abiertamente pobre derecho robar , matar , prohibido reproducirse , seguir usando
1028363000829366272	0	O sea, según tú, si le digo que el joven Mijael es muy mal educado por tratar mal a una mujer, marcaria la pauta? Ok, no me interesa marcar una pauta, solo decir que es un patán de mierda e irrespetuoso con las mujeres. Si eres muy sensible no sigas esta cuenta.	, segun , digo joven mijael mal educado tratar mal mujer , marcaria pauta ? ok , interesa marcar pauta , solo decir patan mierda irrespetuoso mujeres . sensible sigas cuenta .
1028384065832067072	1	"Volvió el discurso de ""inviables"" e ""insustentable"" y si se sacan la careta y repiten ""haga patria mate un jubilado"" o ""un negro/a de mierda"" ? De hecho lo están haciendo de ka forma mas cobarde @lacorrientek"	"volvio discurso "" inviables "" "" insustentable "" sacan careta repiten "" haga patria mate jubilado "" "" negro / mierda "" ? hecho haciendo ka forma cobarde $MENTION$"
1028428595922980865	0	me duele hdp pero sabes como voy a salir del pozo negro este donde me tiraste. te vas a querer morir	duele hdp sabes voy salir pozo negro tiraste . querer morir
1028440190120062977	0	Apenas le alcanzo para doctora. Una mujer tremendamente ignorante, hipócrita y descarada.	apenas alcanzo doctora . mujer tremendamente ignorante , hipocrita descarada .
1028460406136823808	0	Pero si ese museo es de tu partido político... no cuentan como se llegó a eso. Esta bien que seas zurdo pero ese museo no representa a todos, sólo a algunos. O vamos a matar peruanos por que mataron a Arturo Pratt? Deja de joder!	museo partido politico  $ELLIPSIS$ cuentan llego . bien zurdo museo representa , solo . vamos matar peruanos mataron arturo pratt ? joder !
1028636099252563970	0	Debe andar mal wsp porque nunca me llego el msj negro sucio jajaja	debe andar mal wsp nunca llego msj negro sucio  $LOL$ 
1028679060342415360	1	La destruccion de Venezuela es responsabilidad de todos hemos dejado a la mano inclemente del destructor ese Militar Narco corrupto, el dirigente chavista narco destructor corruptor y pregunto qué pasó con los gerentes de PDVSA que en la 4ta honestos hoy miserables corruptos	destruccion venezuela responsabilidad dejado inclemente destructor militar narco corrupto , dirigente chavista narco destructor corruptor pregunto paso gerentes pdvsa $NUMBER$ta honestos hoy miserables corruptos
1028702361370456064	1	Este idiota fascista que celebra el CARA AL AOLNY BANDERA FRANQUISTA DICE QUE NO ES DE DERECHA. NO ME JODAS PATIQUIN	idiota fascista celebra aolny bandera franquista dice derecha . jodas patiquin
1028711525136183296	1	Nunca falta el integrante de la comunidad lgbti. Que dice soy del verde soy marica defendiendo a almilloron	nunca falta integrante comunidad lgbti . dice verde marica defendiendo almilloron
1028738574273990657	0	Madre mía! Pretender meterte con alguien llamándole “marica”... \nTampoco te voy a pedir más, eres madridista...\nSaludos	"madre ! pretender meterte alguien llamandole "" marica ""  $ELLIPSIS$ tampoco voy pedir , madridista  $ELLIPSIS$ saludos"
1028739223409631233	1	Este negro sucio cara e'mono que bajo a caído y que comentario tan marica.	negro sucio e'mono bajo caido comentario tan marica .
1028740060051656704	1	Amiga, si te buscan muchos hombres para invitarte a salir, no es porque seas la mujer más hermosa del planeta, simplemente te buscan porque saben que eres bien puta.	amiga , buscan hombres invitarte salir , mujer hermosa planeta , simplemente buscan saben bien puta .
1028740081098674177	0	@carlospeguer ns pq me ha recordado a ti en plan algun maricon y yo pegandonos y tu preguntando educadamente algo sjjsjsjsjs https://twitter.com/hansolicc/status/1027677180594143232 …	$MENTION$ ns pq recordado plan algun maricon pegandonos preguntando educadamente sjjsjsjsjs $URL$  $ELLIPSIS$ 
1028757415683125248	0	"when te pasan un video de lo que paso anoche y lo primero que dices es ""marica a lo bien ese soy yo?"" :'v\n\n#QueGonorrea :v"	"pasan video paso anoche primero dices "" marica bien ? "" : ' $HASHTAG$ :"
1028764335303270401	1	No te lo crees ni tu misma maldita marica	crees misma maldita marica
1028775441266626562	1	K dices?8ch8 ds un maricon yorica  q ace chistes ofensibos ,siendo mujer no t ofendes?bueno bueno,mujer....horco mas bn diria yo	dices ? $NUMBER$ch8 ds maricon yorica q ace chistes ofensibos , siendo mujer ofendes ? bueno bueno , mujer  $ELLIPSIS$ horco bn diria
1028813188396195840	1	"Conmigo los ""Zurditos"" durán repoco! Al poco rato se dan cuenta que no tienen argumentos y empieza con el insulto de manual: ""ignorante, momio, facho pobre, nazi, asesino"" en ese orden! No te canses! Vale la pena terminar con el juego de la victimización y la manipulación zurda!"	"conmigo "" zurditos "" duran repoco ! rato cuenta argumentos empieza insulto manual : "" ignorante , momio , facho pobre , nazi , asesino "" orden ! canses ! vale pena terminar juego victimizacion manipulacion zurda !"
1028908798549929984	1	A ajajajajajajajajajajajajajajajajaja this pinche enano indio de mierda es de los que ven Univisión a ajajajajajajajaja sigue creyendo eso	 $LOL$  pinche enano indio mierda ven univision  $LOL$  sigue creyendo
1028997104935596032	1	Mi Posición sexual favorita es agarrar una escopeta con bastantes cartuchos y matar a todo chavista, GNB y PNB que se me atraviese	posicion sexual favorita agarrar escopeta bastantes cartuchos matar chavista , gnb pnb atraviese
1029026031448018946	0	-ningun tio asi que fuera. en fin, no solo eso, si no que en netflix españa solo estan las dos primeras temporadas en las que lgbt mis cojones. osea que os follen de verdad puto ascooo	- ningun tio asi . fin , solo , netflix espana solo estan primeras temporadas lgbt cojones . osea follen verdad puto ascooo
1029131033277607938	1	ser de derecha liberal es ser un facho que en vez de tomar whisky toma piscola	ser derecha liberal ser facho vez tomar whisky toma piscola
1029517813046812672	0	Que estupido no podes robarle al chino y ensima te agarra la policia	estupido podes robarle chino ensima agarra policia
1029871567025700865	0	«He sido mujer durante mucho tiempo, sería estúpido no estar de mi propio lado». \n(Maya Angelou, cuando le preguntaron por qué se consideraba feminista).\n.\nSimple, ¿verdad? \n#HeForShe #Feminismo #Equidad #PoderFemenino	<< sido mujer tiempo , estupido propio lado >> . ( maya angelou , preguntaron consideraba feminista ) . . simple , ? verdad ? $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$
1030114498760396802	0	Un negro vende humo. Lo hace todo para las cámaras, podía haberlas regalado y sin filmarse. Como central le cortó el chorro de los videitos no sabe qué hacer	negro vende humo . hace camaras , podia haberlas regalado filmarse . central corto chorro videitos sabe hacer
1030186287041523712	1	Somos los Querandies, herederos de esta tierra. Somos nietos del indio que mataron esos hombres de mierda.	querandies , herederos tierra . nietos indio mataron hombres mierda .
1030258987013484545	0	¿Si un burro hace comida en rollo de pan de pita son burritos? — Pero los rollitos se hacen con torta de maíz como la torta que te voy a dar por este chistaco (??? https://curiouscat.me/SuteraBRS/post/616933584?1534467858 …	? burro hace comida rollo pan pita burritos ? -- rollitos hacen torta maiz torta voy chistaco (  $QUESTION$ $URL$  $ELLIPSIS$ 
1030272329811734528	0	JAJAJAJA yo no soy feminista solo estoy a favor de la legalizacion del aborto. Ignorante vos que no tenes un buen argumento para debatir este tema, solo criticar desde afuera e ignorar que las mujer se mueren por abortos clandestinos	 $LOL$  feminista solo favor legalizacion aborto . ignorante tenes buen argumento debatir , solo criticar afuera ignorar mujer mueren abortos clandestinos
1030519427920474113	1	Una torta y un refresco a qué eres puto!	torta refresco puto !
1030888373664268288	1	De ser cierto, a ese comunista de mierda deben de juzgarlo y meterlo preso hasta que su cuerpo vaya a arder en el infierno	ser cierto , comunista mierda deben juzgarlo meterlo preso cuerpo vaya arder infierno
1030913489206951937	1	me tiene los huevos por el piso esta feminista de cartón, metete en tu culo y para de agredir, pelotuda de mierda	huevos piso feminista carton , metete culo agredir , pelotuda mierda
1030949574565945345	1	@evoespueblo pedazo de cocalero genocida de shit, no hables de lo que no sabes, no hables de lo que no padeces, primero el buque es naval tipo hospital, Venezuela vive una crisis sin precedentes generada por el modelo fascista, comunista y hitleriano que tú profesas. Cállate!! https://twitter.com/la_patilla/status/1030938817845489665 …	$MENTION$ pedazo cocalero genocida shit , hables sabes , hables padeces , primero buque naval tipo hospital , venezuela vive crisis precedentes generada modelo fascista , comunista hitleriano profesas . callate ! ! $URL$  $ELLIPSIS$ 
1030967557476560903	0	como les da la cara para cagar a la persona que “aman”?	"cagar persona "" aman "" ?"
1030967564690771969	0	Estoy	
1030967564812337152	0	No ya no	
1030967566796292096	0	El respeto, se gana... No se merece, sin importar el sexo de la persona.	respeto , gana  $ELLIPSIS$ merece , importar sexo persona .
1030967573221965824	0	Pues a mí me gusta más el nesquik que el cola - cao y la Pepsi más que la coca - cola\n\nWaiting for hate	pues gusta nesquik cola - cao pepsi coca - cola waiting hate
1030967573758787591	0	Que chabon hermoso es alejo, es un gil pero se merece todo 	chabon hermoso alejo , gil merece
1030967577605025792	0	No quiero estresarme más por nadie	quiero estresarme nadie
1030967577663746048	0	Quien sale con este clima horrible???	clima horrible  $QUESTION$ 
1030967577982455808	0	El mejor #DeleAllichallenge de todos, es de Santiago Arroyave, el futbolista que debutó en la A sin un brazo, tiene una malformación de nacimiento que se caracteriza por la ausencia de huesos y músculos.\n\n¿Quién dijo no era capaz? Escribió en su Instagram.pic.twitter.com/e7maxyeZHe	mejor $HASHTAG$ , santiago arroyave , futbolista debuto brazo , malformacion nacimiento caracteriza ausencia huesos musculos . ? quien dijo capaz ? escribio $URL$
1031152201480200192	0	“ si yo fuera mujer estuviese conmigo” hahahaha maldito flow de Coscu	""" mujer conmigo ""  $LOL$  maldito flow coscu"
1031222678403919872	1	Acéptalo, hay un gran grupo de feminista que son violentas, terrible hijas de puta.  No lo negues  y ponete en contra de todas ellas como varios los están haciendo ya.  No le pedimos que dejen de luchar por el feminismo. pic.twitter.com/Fovl11mpZQ	aceptalo , gran grupo feminista violentas , terrible hijas puta . negues ponete todas varios haciendo . pedimos dejen luchar feminismo . $URL$
1031241930561269760	0	Detenido un hombre tras matar a su mujer de dos disparos en A Coruña http://dlvr.it/QgQ99L  pic.twitter.com/YtZ24VepjQ	detenido hombre tras matar mujer disparos coruna $URL$ $URL$
1031258548494389249	0	Yo me enteré de este tema anoche y me pregunté: Qué hace esa Policía amamantando? \nNo había una leche para mamadera?  \n\nTampoco me parece normal que una mujer quiera amamantar a cualquiera que se cruza por delante. \n\nSácate leche y dásela con mamadera si es necesario.	entere anoche pregunte : hace policia amamantando ? leche mamadera ? tampoco parece normal mujer quiera amamantar cualquiera cruza delante . sacate leche dasela mamadera necesario .
1031570205858836482	1	Ya salio lo de Fachilla...eso no es un insulto para mi...Facha!!! Y a mucha honra...mejor que un asqueroso rojo comunista de mierda...	salio fachilla  $ELLIPSIS$ insulto  $ELLIPSIS$ facha  $EXCLAMATION$ mucha honra  $ELLIPSIS$ mejor asqueroso rojo comunista mierda  $ELLIPSIS$ 
1031598425333276672	1	estafan con las porquerias haier y asi con todo. Uds ignorantes de mierda son complices de la desgracia de este pueblo y de permitir se destruyera este pais haga lo q haga el asno de maduro empeorara todo porq nadie le presta dinero a LADRON y todo chavista es LADRON asi q jodanc	estafan porquerias haier asi . uds ignorantes mierda complices desgracia pueblo permitir destruyera pais haga q haga asno maduro empeorara porq nadie presta dinero ladron chavista ladron asi q jodanc
1031666822393806848	0	Estoy pensando en ofrecerme para transito de gatitos pero si el chino se encariña con otro gato y se lo saco me va a matar	pensando ofrecerme transito gatitos chino encarina gato saco matar
1031689237039525888	1	Maldito mamaguevo bruto pana, Venezuela se ha convertido en el único pais que todo es ilegal cuando en otros paises es lo normal y un derecho, maldito seas tu y toda tu generación chavista animal	maldito mamaguevo bruto pana , venezuela convertido unico pais ilegal paises normal derecho , maldito generacion chavista animal
