id	text	HS
828025263321657348	Ismael es egocentrico porque se vuelve loca si le dicen que tiene el pelo bonito😂😂😂😂 eso se define con otro objetivo #FirstDates251	0
828025128797741057	..ya tardaba en salir quien pronunciase nombre catalán sílaba aguda como si fuese plana [es Eduááárd],[Ernééést],[Albééért] no son ingleses	0
828025087815274496	"(Esto no es un discurso político y razonado, obviamente, solo una llamada de atención en plan ""JODER, NO CUESTA TANTO SABER COSAS"")"	0
828025006626058241	Muy despreciados,siiii,pero todos vestidos de alta costura española o extranjera como la derechona burguesa verdad,… https://t.co/5UnIo6C3YF	1
828024709761658880	marica explicame porque a veces no te entiendo. — En vez de venir a ensuciar mi cc con insultos homof... https://t.co/hSGMfcEtos	1
828024543847600128	Abusan de 1400 niñas durante 16 años porque la policía tenía miedo de que les llamasen racistas, eran moros #MuslimBan https://t.co/2LItT1ZqFN	0
828024390315102208	Es ridículo, ayer le dije a un árabe que no era necesario comer culos que no iban a discriminarle y me tacharon de racista	0
828024212824739841	39. Me considero género no binario y mis pronombres son ella/ elle	0
828024204704505858	@SuperFalete jajajajaja. Te jodes maricon.	1
828024193312751620	Pero por qué cojones sois tan racistas contra los blancos que hoy en día mucho hetero patriarcado pero se han inver… https://t.co/ujmxe6fNpq	0
828023983140372484	"La gente que se pretende burlar del feminismo diciendo ""machista opresor"" es porque no ha cogido un libro en su puta vida y no sabe qué es"	0
828023789988478983	"En qué puto momento tumblr decidió que ""ojos negros como pozos"" y ""piel aceitunada"" era ser BLANCO PAPEL CON OJOS GRISES."	0
828023192086335490	Rovira lleva siendo subnormal desde 1980.	1
828023016785326081	Para el cine serías un progre guay y para lo demás un facha, fascista... https://t.co/ap7WYVzPQW	0
828022929304727552	el mejor momento del día es irme a la cama mamona	0
828022592414023681	"Dale a ""me gusta"" en mi página de Facebook y recibirás en menos de 24 horas a un sodomita enloquecido por Amazon."	1
828022558171729925	Eres socialista? Del psoe? https://t.co/5ShB4Ob2q7	0
828022290730405889	Buah yo no me haría nunca un twitter, eso está lleno de rojos de mierda.	1
828021893395599360	Os he contado la historia del guiri detrás mio? Que hombre más subnormal por favor	1
828021865809641472	¿eres heterofobica o no?, no te entiendo amiguita. — La heterofobia no existe cariño  https://t.co/dEm6sXp8UJ	0
828021336391966720	Joder, que llega un punto en que alguien abre la boca para decir algo en favor del feminismo y lo matamos.	0
828021222189498369	"Independentista dice que cultura, historia y lengua de #Valencia y #Baleares es suya: ""porque también es nuestra"". #LaIndependenciaEnsRoba https://t.co/mLP1f38UDS"	0
828021138152423425	@Barandaand @lapaseata Los actores estos es que son todos unos fachas ...	1
828020402597330944	"el marica de ones cargo me dijo te voy a pegar un tiro   ""  2 semanas despues sigue en silencio y escondido """	1
828020302307287041	A ver si le dan un Goya al youtuber que se llevó la hostia por subnormal.	1
828019739532414976	@MrAlvatros25 @Edd33Martin ha hecho las dos subnormal	0
