id	text	HS	OF	HT
1024444574624886784	siempre después de llorar, voy al baño, me miro al espejo y sonrío no se q tipo de problema mental tendré	0	0	N/A
1024444581826445312	"Ley de la vida: ""Mientras menos cuentes tus cosas, mejor te saldrán""."	0	0	N/A
1024444584280113152	Sataaaan aléjate 	0	0	N/A
1024444586104639488	Tanto le molesta ver a la gente bien?	1	0	N/A
1024444587404869635	Exacto... nunca será el aborto la solución. Por eso #RechazoTotalYa al aborto en Argentina \n\nVamos que se puedehttps://twitter.com/AnaBelenMarmora/status/1024393823726788608 …	0	0	N/A
1024444593364971520	Te amo con todo mi corazoncito de pollito 	0	0	N/A
1026112053465899008	Jajajaa cállate indio estúpido metiche.hdp	1	1	racism
1026123061525995520	"Me frustra muchísimo que amigos a los que quiero tengan actitudes de mierda. \nÚltimamente siempre veo tuits rollo ""mu feminista pero con amigos q son mierdas noseké""."	0	0	N/A
1026148609321037825	Raza ayer iba subiendo a mi casa bien imbecil de lo pedo que estaba y un wey me dijo que me iba a robar que le diera mi fon y yo estaba bien pedo y como me espanté le rompí la madre y le puse una putiza y con una torta en la mano JAJAJAJAJAJAJAJA	0	1	N/A
1026188109191495682	Maldito indio patiRajado  como usd no es el q esta pasando necesidades como los hermanos venezolanos    pero me doy cuenta que usd es un cretino  igual de burro y poco preparado que maburro	1	A	racism
1026238571278151680	Te quedaste sin el pan y sin la torta por imbecil !! Io te lo dije 	0	0	N/A
1026266359079022592	Te das cuenta que las dos vidas te las pasas por el forro de los huevos? Ojala no te deje dormir la culpa por todas las mujeres que se van a morir, ojala tengas una hija feminista y deje de respetarte con esa opinion de mierda que tenes  #SeraLey a la larga o a la corta Mono	1	0	political
1026465552917843973	Ja como si el indio va a ver este tw. Sos una pelotuda.\nA mi también me gusta el indio y estoy a favor de las vidas , ay no que mal ! Ahora el indio va a saberlo , ay no acabo de faltarle el respeto. Jajaja que gente idiota por favor	1	0	political
1026947001974444032	Obvio, mira si te sale negro y puto??https://twitter.com/felicianospano/status/1026628212305158144 …	1	1	racism
1026951578845159424	@PaSchwarzBlo Hola, no se si sera fascista pero seguro ignorante.- Confundir al Movimiento Social Patriota con Nazis?. Recuerde que su apellido es uno de los 20 mas usados en Alemania, por lo que segun Franzani usted seria un Nazi, no estaria muy lejano del fascismo.-	0	0	N/A
1027091731894992896	Fue el montaje de un dictador comunista para tener la excusa de encarcelar opositores. ¿Te lo dibujo para que lo entiendas, esbirro asqueroso?	0	0	N/A
1027113734765006848	Xavier chino sucio siempre con la misma remera hijo de puta	1	1	other
1027202937334968321	Que bronca me da lo que flashan del aborto loco! Sea legal o ilegal se va a seguir haciendo. No queres abortar? No lo hagas.\nNadie te obligó a ser puto o torta cuando se legalizó el matrimonio igualitario. De la misma manera nadie te obliga a abortar, FANTASMA!	1	1	racism
1027248958509277184	Hay que ser muy zurdo de mierda y whiteknight para twittear semejante barbaridad. Más aun en una cuenta sobre el Arsenal. ¿Con qué derecho?	1	0	political
1027269635945754625	Joder con el puto indio.... Y lo que no se sabe https://twitter.com/abc_es/status/1027266937624121344 …	1	0	racism
