text	HS
RT @TattedPapiChulo: Having a real bitch by your side and holding it down for you is a blessing &#128591; For Real.	0
So I keep cool but in the back of my mind I'm like did des hoes just come on my mf porch like ik dem	0
&#8220;@MyDick_SuckThat: Who that pussy wet for ?&#8221; http://t.co/CruDDDHxHh	0
"""It takes a true directioner to accept Larry"" You know what bitch its fans like you that make the boys cry. #ThankYouPaulForConfirmingLarry"	0
Why is my mother bothering me about the trash? It's my day off leave me alone and stop nagging	0
RT @Mr_JSmart24: So damn sick of that damn lie smfh&#8230;Skinny girls look like iphones when they jeans come off bitch stop lying!!	0
It's weird but I miss Robertson Screwdrivers :( --&gt; From &#8216;toque&#8217; to &#8216;mickey,&#8217; ten Canadianisms :: http://t.co/LUFaCmlo20 via @nationalpost	0
RT @suckdisdpiece69: I'm gonna rock out with my cock out, and you're gonna jam out with your clam out	0
RT @maNIJEEtwa_: Jackie weird .. like bitch hang with ppl ya age&#128514;	0
He's going to be someone's bitch &#8220;@_Griot_: He bought to catch hell in cell block D. They fuck up men who are rapist and child molesters.&#8221;	0
"RT @RiddMcCoy: Where is everybody getting this ""fuck her right in the pussy"" sayin from?"	0
@blowme you mean trash.	0
RT @_iMcNasty: Heat lost. Medical marijuana got rejected. Rick Scott got reelected. I still have no hoes. Today's just been a bad day.	0
#nowplaying witcha bitch pussy pussy inda hood ona sofa.wit plastic on it	0
@urdaddy936192 @LuM1996 @PRoseish not in Florida retard	0
All the time lol RT @KoolAssK: Lol ima hoe sometimes	0
@KxRxSxB haha no but I was ready to slap that bitch again he came walkin in my room to say hi while I was playin saints in my underwear -_-	0
Got my vans on.. My pockets chunky	0
Shouts out to my down ass bitches who never give a nigga a hard time!	0
@theshardyrebel #faggot	1
After seeing Kansas play Duke a couple weeks ago, I could tell you I'm surprised that Charlie Weis has been let go...but I'm not.	0
Lock 5 fat bitches in 1 room for 5 days with just 5 Mcdoubles. Now that's hunger games	0
Lame niggaz wait in line, wait for bitches, wait to create, wait for someone else to do shit for them.	0
@tweebest clam it	0
"RT @CheefQueef: Well damn. ""@PassDAPiff: Make her a single mother RT @LilTy4Real: What if you finally get the pussy &amp; it's garbage?"""	0
Runnin' so much game I fuck around &amp; lap a bitch..	0
@BretVonDehl @com_lowery Can I beat this bitch up?? Seriously....what a bitch	0
"It's funny how females don't want to be called a ""bitch"" but if you put the word bad in front of it then they're happy af"	0
money hoes and clothes	0
#SlightlyAdjusted RT @CapoToHeaven Alls niggers wanna do is fuck, tweet, and drink pineapple soda all day	1
You nigguhs glorifying pussies	0
@gmalko1 lmaooo fag	0
RT @jesscorsonCLE: Does anyone know of a good pet sitter in #CLE/Northeast Ohio? Specifically cats &amp; birds. Thanks! #CLEpets #neo #clevelan&#8230;	0
@mingtong007 you still are a cunt	0
@BretVonDehl Damn you bitch you never answer me anymore... LMAO JK ILY! Anyway glad of your first show, be safe when going to the next one	0
"@Wow_Bullet ""cuz i thought i got a wife, but i picked a hoe."" IM LOVIN THESE SONGS MAN. Keep it coming"	0
@SarahAuten bitch slap that asshole....with a chair!	0
Trash &#8220;@TieMyDuragBoo: Black people only play R&amp;B &amp; Hip hop at their parties..play some dubstep and House..yall coons need to expand&#8221;	0
@samross58 it's parseltounge, not basilisk you fucking pussy. Get it right.	0
@YeridZee bitches better watch out because we're running the tables tonight! &#128521;&#127867;&#127866;&#128588;	0
Islamic Jihadis run away to Pakistan @PureMonotheist @BemetOr8 #UniteBlue	0
@Arbogucci guys not supposed to get their ass sucked queer	1
"@OutterSpaceSWAG @ChipChipperson @out 
Chippah I hopes you ain't be hangin wit dis wigger boy"	0
Everyone is talking about LeBron James or The Voice and I'm just here eating cream filling out of Oreos.	0
"RT @SteveStfler: ""Smoking weed is so unattractive"" 

Haha I was trying to get high bitch I'm not trying to turn you on."	0
You'll never catch me in public with a chick that got an iPhone 4s. I'm only seen in public with classy bitches	0
Jihadi rehab needs to account for the unpleasant fact that it's the worst behaviors that *attract* participants. http://t.co/nJJGA7S5LQ	0
&#8220;@koleworld4: @what_evaittakes it's cute af bitch&#8221;&#128514;&#128514; I believe u!! It's jus getting pAss trusting u wit a needle to someone head&#128114;	0
"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol"	0
@ToWherever I'm not yellow I'm sorry	0
RT @Anisa_So_Thick: @MsSashaBelle ur a wack bitch who sells her pussy for $65.00 , lives with her mom then was homeless cut the lies&#128521; http&#8230;	0
or dead &#8220;@Royceda59: &#128514; Word RT @TAXSTONE: If ya moms calling the cops after she ain't heard from you for four days you probably pussy&#8221;	0
RT @___Nisha: I hate when boys keep chasing a bitch that treat them like they any nigga &#128529;	0
' Hoes on my mind , I fuck hoes all the time . #FatTrel	0
Up and let the heat pop bitch	0
Ok this is funny... A proud liberal who wants to end racism calls Tim Scott an Uncle Tom Lolz lib idiots #tcot http://t.co/y6X6eagw20	0
@Zonozi @QuantRyse @Hockeypuck55 Classic drunk Carter texts never fail. Hey stfu I'm coming over. Oops, I'm here come the fuck outside bitch	0
This bitch had horseradish ponytail today she. dyed her bald head ass hair red and put that bitch in a pony tail smh	0
Top 5 stankiest pussies	0
@EvanBecker513 @_TriggaPlease_ @MorbidMermaid @zooyorkinit @_ShayisdaBOMB_ @Rainbowblake they can see this dumbass nigger	0
"RT @longbongchris: fuck a closed casket 
bitch put me with the trees
let me rot
throw some seeds
water me and give me leaves"	0
@Rene_gadeCowboy Of course. I was being bitch. Learned from my mom how to make a guy feel like he's 1 foot tall.	0
@ThatBoyAdo fuckin pussy haha	0
@laceeybugg bitch if im talker than you then youre short so stfu	0
RT @TheFatKidJames: @Von_VonRichter Bro fuck you for leaving! Lol no but have a great time up there and don't forgot about the bros back ho&#8230;	0
Where would me life be without God and @levimitchell.....seriously I'd probably be living In a trash can haha!&#128514;	0
' It's just me ? Or do you NOT want nobody else Texting/Inboxing/Kiking/DMing/Snapchatting/Emailing/ Yo girl or niggah ?	0
If I had hair, I would seriously go for a perm now. Genetics is a stone cold bitch.	0
Phillip Rivers look like he almost wants to call dude a nigger for that bad play	1
"RT @_jahmall_: &#8220;@_BlueUnicorns: Df Bruh http://t.co/EIvJYapKuD&#8221; ""go wash the dishes in the sink then come upstairs and eat this pussy"""	0
Im in mickey ds and he gone ask for a double cheese burger wit no cheese!!! #FOH	0
"I'm a bitch because
My family life is fucked
My love life is fucked
My social life is fucked
Just my outlook on life is fucked"	0
&#8220;@iamSHIRAQ: @WhereYoHussleAt u got hoes tho&#8221; WERD &#128066; WHERE &#128064;	0
RT @TEYANATAYLOR: Me and this bitch may not be the best of friends, but this cover??? #STUNNING! #LoveIt She ate that &#128525;&#128525;&#128525;&#128525;&#128525; http://t.co/N5z&#8230;	0
"RT @trapfuI: i hate a ""i don't text first"" type bitch"	0
@edouglas528 That would be your Yankees Earl....we all know they should win all 162	0
"RT @ryannotsheckler: ""That shit can break you down if you lose a good girl, I guess you need a bad bitch to come around and make it up"""	0
Damn they act like Bron tore his ACL! Toughen up bitch! Lol	0
@Coley_Cee bitch do I look white to u	0
&#8220;@_yesKala: It's so wonderful when you meet a dude that's not a bitch ass nigga these days &#128514;&#8221; &#128588;&#128553;	0
This is exactly why bitches end up dead RT @CASHKILLEM: Told him to stop fucking with me , I hope it rain bitch. http://t.co/2fuxRzeVTp	0
If you're not directly descended from European royalty and upper nobility, then you're not fully human. You're just common gutter trash.	0
"pony tail 
red nails 
still in school bitch"	0
@Woody_AFC @MrGAM3R49 @MANIAC3X fuck outta here faggot that wouldn't even be a fair	1
Even my moms knows I don't fuck with ghetto people	0
"""@babineaux_: I don't got no type. Bad bitches is the only thing I like"" *Iongotnotype"	0
Parsons trash	0
"""@QUAN1T0: 61% of welfare/government aid is claimed by white people. So y'all black slander is trash now."""	0
Their gotta be a loaded lux vs Murda mook 3	0
RT @TweetLikeAGirI: when other girls wear beanies they look cute &amp; stylish but when i wear them i look like a member of a drug cartel who s&#8230;	0
Turn on the magic of colored light. #longexposure #lightwriting http://t.co/Um8LBsd6p9	0
"RT @JonHorstHoyer: ""Lester, the parasitic spider monkey, had 1 redeeming quality: he ran the boat, &amp; the boat attracted women."" 'ONLY IN #C&#8230;"	0
@1MannyOnly @iamadamg_ @JennyReyes42 bitches will be bitches.	0
Lookin at u hoes #federalboobieinspector http://t.co/wxLgV8xKDX	0
@1Corinthians126 #Jesus Genesis 2:19 Out of the ground the LORD God formed every beast of the field and every #bird of the sky #Initiating	0
